title_review,country,date,avp_badge,review_text
Honest and positive,Royaume-Uni,31 mai 2020,Achat vérifié,"

  Just finished this and loved it! I have always been a fan of the Obama’s and really enjoyed reading About Michelle’s childhood, meeting Barack, having  children and become First Lady. It very honest and positive and not too politics focused.Looking forward to watching the Netflix documentary now.

"
Good,Royaume-Uni,15 janvier 2020,Achat vérifié,"

  Good read, tells a lot about Michelle Obama’s life, will be passing this on for others to read and would recommend to anyone

"
Great read!,Royaume-Uni,4 août 2019,Achat vérifié,"

  What an inspirational lady. This book gives you a read down to earth view of the life of such a lovely person who was catapulted into a life she didn't choose. She just loved and supported her husband in such a caring way whilst being string enough to fight for what she believed in.

"
Outstanding!,Royaume-Uni,29 novembre 2020,Achat vérifié,"

  A must read for every human! Full of honesty, grace, intelligence, love and insight. Big respect to the most important First Lady in history ❤️

"
You Will Be Inspired by This Read!,Royaume-Uni,14 novembre 2019,Achat vérifié,"

  Michelle has a family with the right values and this is the core of the book.Inspirational wisdom from the ex First Lady

"
A must read book,Royaume-Uni,18 janvier 2019,Achat vérifié,"

  Absolutely loved this book, and have been telling everyone excerpts from it over the few weeks it's taken me to read. Such a strong but down to earth woman who is a role model for women around the world. To hear how her young family dealt with the weirdness of the presidential environment was wonderful.Everyone should read this book.

"
Uplifting and insightful,Royaume-Uni,1 mai 2019,Achat vérifié,"

  Michelle Obama's account of her childhood and all those who helped her become who she is today is an easy to read and uplifting story of hope and resilience. Well worth a read.

"
Beautifully written,Royaume-Uni,17 novembre 2018,Achat vérifié,"

  Beautifully written and incredibly relatable. I'm so appreciative of Michelle to share her story in such a candid and beautiful way

"
Inspiring,Royaume-Uni,16 décembre 2018,Achat vérifié,"

  Wonderful book. So great to get to know about her humble beginnings and how she navigate through her career choices. Very inspiring!

"
A great present for my wife.,Royaume-Uni,7 janvier 2019,Achat vérifié,"

  The cost and delivery were great. Content of the book still being read but it looks like it is a great book and just what was wanted.

"
The best book I've read in a long time,Royaume-Uni,3 mars 2019,Achat vérifié,"

  There's not much I can add to what's already been said except to urge those who might be hesitating to read this extraordinary book. Everyone I know raves about it.

"
Michelle Obama’s book.Becoming.,Royaume-Uni,20 janvier 2019,Achat vérifié,"

  I enjoyed every minute of this book.So well written and describes feelings straight from the heart. What a lovely caring couple! and both trying to make the world a better place.

"
Good read,Royaume-Uni,24 avril 2019,Achat vérifié,"

  Good read maybe not as well written as I had expected but seems a very truthful account of the life of Michelle Obama

"
Insight into a life I would never have known,Royaume-Uni,12 septembre 2020,Achat vérifié,"

  Hardcover book received, finished reading within days.Left me feeling grateful, thankful, empowered and focused.Change to what we know in life or what we are taught is not always right for the now, or the future. Thats my take away. A good reflection on what we can do and what we should do! Bottom line is TRY!

"
Inspirational- what a role model! Must read.,Royaume-Uni,3 juin 2019,Achat vérifié,"

  I could not put this book down and brought it for my sister too, just brilliantly written, articulated her experience with intelligence and humanity.

"
Real and Relatable,Royaume-Uni,12 février 2019,Achat vérifié,"

  I loved reading this book. Michelle came off so real and relatable, but yet inspiring. She laid it all bare with feeling lost in her career, to dealing with fertility issues, to managing work/campaign/life balance. She also gives credence to having a support system - no woman is an island, and it certainly does take a village. This is a must read.

"
Don't miss this one,Royaume-Uni,30 mars 2020,Achat vérifié,"

  Within the first few lines you know this is a book you don't want to put down, easy read well constructed its exactly like the lady a winner

"
Great honest read,Royaume-Uni,1 septembre 2019,Achat vérifié,"

  Michele Obama manages to capture in very simple terms what it was like for a young black women growing up in America. Her sense of fairness and doing what she knew was the right thing is woven throughout every action she took growing up. Her optimism is palpable in every page. I loved travelling her journey through her words.

"
Inspirational,Royaume-Uni,22 avril 2019,Achat vérifié,"

  Gives great insight into the political process in the US and on a personal level the journey of the Obamas to the White House.  Well written and engaging, it delivers a message of hope that ordinary people can effect real change.

"
Brilliant!,Royaume-Uni,5 février 2020,Achat vérifié,"

  Brilliantly written, by a beautiful Soul! I enjoyed every page...Couldn't put it down!Highly recommend this book! 👍

"
Very happy,Royaume-Uni,27 juillet 2020,Achat vérifié,"

  Watched the programme of thus on Netflix. Was inspired by the what I saw, I book the book for my wife fir her birthday.

"
Excellent book,Royaume-Uni,12 avril 2020,Achat vérifié,"

  Well written excellent book should be reading for all bigots of this mad world live and let live all people

"
EPIC!,Royaume-Uni,5 décembre 2019,Achat vérifié,"

  Beautifully written, engage imagination from start to finish, simple, educating, very informative, honest....thank you for being a gift to this generation & many more. thank you for sharing your knowledge, experience & yourself...wld gv a billion stars if there is....you are a blessing more power to your elbow...would read over & over again

"
"Well written, lovely read",Royaume-Uni,4 avril 2019,Achat vérifié,"

  I bought this for my aunt who's uber-critical about most stuff, but she really enjoyed the book, so much so that I ordered it for myself on Audible (I'm too lazy to read, I love being read to in bed at night - takes me back to my childhood. Also Michelle Obama reads it to me and she's got such a lovely voice!)

"
Incredible book by an incredible woman,Royaume-Uni,15 novembre 2020,Achat vérifié,"

  What an amazing woman and brilliant writer - I love her and I love this book. I thoroughly enjoyed reading Michelle's book and can't believe I had not read this earlier. Highly recommend this - this is probably one of my most favourite books now.

"
Warm and Engaging,Royaume-Uni,10 mai 2019,Achat vérifié,"

  I couldn't put this book down! Michelle Obama comes across as a very warm and engaging person. This is a fascinating insight into the Obama presidency and the story of a woman who succeeded despite never feeling good enough. An essential read for all women.

"
A great read,Royaume-Uni,12 janvier 2019,Achat vérifié,"

  Got this for my inspirational lady (wife) who says it's a lovely, well written book.  At least it's a book and not on her kindle ;)

"
Please read this book,Royaume-Uni,15 avril 2020,Achat vérifié,"

  If you are feeling depressed about American politics and society, then read this book. Utterly inspiring.

"
Excellent,Royaume-Uni,23 juin 2019,Achat vérifié,"

  Brilliant book, clear and well written (as you might expect) with great insight.  Michelle Obama is an example to us all.  A 'Must Read'.

"
An inspirational read showing how you can achieve what you want with grit and determination.,Royaume-Uni,29 juillet 2019,Achat vérifié,"

  A truly, inspiring story about Michelle’s life from early childhood to present day. Really enjoyed reading about how she met Barack and how the relationship developed but this didn’t detract from her story which was the focus of the book. Excellent read.

"
"Fascinating, unputdownable read",Royaume-Uni,25 janvier 2020,Achat vérifié,"

  This book is highly recommended.  I feel bereft now it's finished!  The narrative is interesting and compelling.  I feel privileged to know much more about this amazing person and the Obama family.  Such a shame they couldn't have stayed for another term of office.

"
"Good read, very impressed",Royaume-Uni,10 octobre 2019,Achat vérifié,"

  Really enjoyed reading about Michelle's early years, her parents, etc well written. The later years I found less enthralling probably because you feel you already know most of it. Very impressive woman!

"
Inspirational,Royaume-Uni,18 décembre 2019,Achat vérifié,"

  This book is very inspirational. I myself am not a huge book person and often get bored when reading, so the fact that i actually read this book shows a lot!

"
Amazing <3,Royaume-Uni,14 janvier 2019,Achat vérifié,"

  I knew very little about this former last First Lady before reading her story. Now I can honestly say that Michelle Obama is the embodiment of Grace and everything that is kind and good within the world. This book is moving, inspirational, real & raw. I highly recommend giving it a read, you will not be disappointed.

"
Fantastic,Royaume-Uni,26 juillet 2019,Achat vérifié,"

  Such a brilliant book, well-written so you feel like you're having a chat with Michelle over a cuppa.

"
Great book,Royaume-Uni,10 janvier 2019,Achat vérifié,"

  Honest, heartfelt and a real inspiration great book, Michelle talks openly about her life, family and what it was really like at the White House

"
Highly recommended. I just love it!,Royaume-Uni,22 février 2019,Achat vérifié,"

  Inspirational! I treated myself to this book. Loved this woman before I read the book and respect her even more now. Highly recommended for women or men.

"
Superb,Royaume-Uni,19 décembre 2018,Achat vérifié,"

  Loved every minute. Personal and political warts and all. What a journey and all travelled with grace and decorum. Lessons on how it should be done.

"
"Just brilliant, no wonder it became a bestseller",Royaume-Uni,15 avril 2019,Achat vérifié,"

  If one did not really like the first lady, which is not my case, one couldn't help to want to know and like her after reading her autobiography

"
Simply un-putdown-able!,Royaume-Uni,6 février 2019,Achat vérifié,"

  A beautiful book. Hard to put down - rushed right through but now re-reading to take in every little detail. Michelle did a great job; nothing left uncovered.

"
Outstanding,Royaume-Uni,9 janvier 2019,Achat vérifié,"

  Given this book is a non fiction autobiography I found myself pacing through desperate to know what Michelle would detail next, despite knowing exactly what would happen. The best book I have read this decade and truly inspirational. Mrs Obama, you are a true role model.

"
Makes me long for a better time,Royaume-Uni,23 mars 2019,Achat vérifié,"

  Fantastic read. I enjoyed learning about Michelle Robinson the young hopeful woman and the woman Michelle Obama was before she became POTUS.

"
great read,Royaume-Uni,20 janvier 2019,Achat vérifié,"

  great read

"
One of the best reads of 2019 so far,Royaume-Uni,28 février 2019,Achat vérifié,"

  I highly recommend this book if you are a history buff, care about the Obama family and Michelle's family history enough. Takes you on an emotional rollercoaster from start to finish, you can almost picture every chapter in your mind.

"
Dirty,Royaume-Uni,18 mai 2019,Achat vérifié,"

  The written contents of the book are good.  However, the book itself doesn't look brand new.  There's dirty marks on the pages and the cover is damaged

"
I'm really enjoying this book.,Royaume-Uni,16 janvier 2019,Achat vérifié,"

  It's a brilliant book, I didn't realize that she had it so tough as a black woman. Anyway I haven't finished the book yet but I bet she gets married and has two children.

"
Inspirational !,Royaume-Uni,27 janvier 2019,Achat vérifié,"

  Reading this at an ambiguous time in my life has given me direction and steadfastness Mrs Obama normalcy yet determination is an inspiration. Truth.She will be our forever First Lady

"
Inspiring,Royaume-Uni,5 juin 2019,Achat vérifié,"

  Such an interesting and inspiring insight into the life of Michelle Obama. Really enjoyed hearing her narration on audible. Highly recommended!

"
Becoming,Royaume-Uni,20 juillet 2019,Achat vérifié,"

  The book arrived when expected. The condItion of the book is fine , but it looks like it is a library book, as it has a Westminster Libraries sticker in it , along with a barcode sticker where book would be checked in and out and you can see where the bit of paper has been ripped out where you would have the return date stamped in the book by the library.

"
Outstanding,Royaume-Uni,28 novembre 2019,Achat vérifié,"

  Out of this world! A round of applause. A definite must read. Couldnt put it down. Read it twice.

"
One of the best books I’ve ever read,Royaume-Uni,3 juin 2020,Achat vérifié,"

  I just love Michelle Obama. Fantastic book, so well written. Insightful and inspiring. A must read for everyone.

"
Pricey,Royaume-Uni,23 juillet 2020,Achat vérifié,"

  Haven't started reading it yet but am looking forward to it. Came on time. Thought it was a pricey but treated myself anyway.

"
Truly inspiring,Royaume-Uni,3 janvier 2019,Achat vérifié,"

  Juggling a family and career as a woman is hard for the best of us., Michelle never takes her eye off the ball hanging on to her principles and beliefs throughout.

"
Inspirational and interesting,Royaume-Uni,9 octobre 2020,Achat vérifié,"

  bought as a gift was told this a great read ad that her story is interesting and inspiring.

"
Very good indeed,Royaume-Uni,15 février 2020,Achat vérifié,"

  I am very much enjoying this. So many issues are addressed without hectoring. It is a very good read indeed.

"
Inspiring,Royaume-Uni,30 juin 2019,Achat vérifié,"

  I found the book most inspiring and heartfelt. It was a great insight of what life was like in the Whitehouse for the family.

"
Boring,États-Unis,20 décembre 2018,Achat vérifié,"

  Not a good book!

"
Excellent book,Royaume-Uni,30 mars 2019,Achat vérifié,"

  Excellent book. An easy read. Great insight into a interesting life. Would recommend anyone to read it.

"
Well written & very enjoyable,Royaume-Uni,20 mai 2019,Achat vérifié,"

  Really interesting book from start to finish. Shows how you can become someone by hard work & determination. Well worth a read

"
Inspiring & Captuvating,Royaume-Uni,28 février 2019,Achat vérifié,"

  Loved the book - Very inspiring and insightful into the Obama’s journey to where they are right now. Highly recommend it!

"
Heartwarming!,Royaume-Uni,17 mai 2019,Achat vérifié,"

  I have a!ways admired Michelle Obama. To me, she's the embodiment of women and girls' empowerment.Reading her memoirs has given me a clearer picture  of the woman she is. ""Becoming""  is a testament that love overcomes fear, dreams can become reality,  altruism still lives on and no matter what...it will be alright.

"
What is there not to love?,Royaume-Uni,13 janvier 2019,Achat vérifié,"

  It’s Michelle Obama. What is there not to love? Excellent book, great inside peak into her life, her thoughts and her childhood. An honest reflection of our first black First Lady.

"
"Beautiful, honest and predictably inspiring!",Royaume-Uni,17 février 2019,Achat vérifié,"

  She is an impressive woman, but her choice of words to incite imagery made this book all the more beautiful. Furthermore, her honesty jumps out at you, and made me feel like she's just like us and that we too can make changes, no matter how small. What an inspiration!

"
Gives me hope,Royaume-Uni,9 février 2020,Achat vérifié,"

  I am very glad I decided to read this book as it is just what I needed to give me hope that good people with good intentions are still out there.  That not all people, in and around politics, are without integrity.  Truth and right still matter and I am happy to be reminded of these facts by Michelle Obama.

"
Beautifully Written.,Royaume-Uni,29 janvier 2019,Achat vérifié,"

  This woman is a genius.  I love her writing, her choice of words, her presentation, her simplicity, her focus, her vision. Once you start this book, you wouldn't want it to end.

"
What a lady,Royaume-Uni,8 août 2019,Achat vérifié,"

  Great book.  Very inspiring lady.  Interesting stories of her life before and at the White House. I liked them before reading this book, but now have a real affection for them now

"
You won't be able to put it down,Royaume-Uni,30 décembre 2018,Achat vérifié,"

  Fantastic read .lntelligent lady .Just got to where Barrack proposed and about to start chapter 12 their wedding day .

"
Great book,Royaume-Uni,17 mai 2019,Achat vérifié,"

  I loved reading this book as it feels like a conversation with Michelle. She choses and tells the most interesting and insightful parts of her life; the book is never boring.

"
Best book of all time,Royaume-Uni,1 août 2019,Achat vérifié,"

  Great book to read and author gives insight into the White House and journey in politics. I could not put the book down, it’s well written and engaging

"
Beautifully presented hard cover book,Royaume-Uni,26 février 2019,Achat vérifié,"

  Great cover but was damaged in transit,the cover was ripped.Lived the price though

"
overall great read,Royaume-Uni,31 juillet 2019,Achat vérifié,"

  loved receiving this book  to replace my daughters that was stolen ! highly recommended book

"
Bought as a present and am chomping at the bit to read it 🤗,Royaume-Uni,28 août 2019,Achat vérifié,"

  I love this family and everything they stand for, they know each other so well and the love seems to have stronger over the years. If I had a choice of who to invite for dinner it would definitely be the Obamas. Can’t wait ! 😂

"
You won’t be the same,Royaume-Uni,5 septembre 2020,Achat vérifié,"

  Excellent approach to her life story. It changes you to read her perspective.

"
Quick easy read,Royaume-Uni,13 août 2019,Achat vérifié,"

  Refreshingly honest down-to earth account of a life in before and during politics.

"
Every woman should read this book!,Royaume-Uni,29 juillet 2019,Achat vérifié,"

  I would recommend this to any woman who struggles with confidence, or getting their voice heard. I have learnt so much from this book and made changes in my attitude and life after being inspired by Michelle.

"
Every girl should have a copy,Royaume-Uni,27 février 2019,Achat vérifié,"

  My daughter absolutely loves Michelle - she sees her as a strong role model for females and so wS delighted to receive this book

"
Recently published,Royaume-Uni,30 janvier 2019,Achat vérifié,"

  A beautifully written book. Now going round the family. Two generations are enjoying it too.

"
A fantastic read,Royaume-Uni,25 septembre 2020,Achat vérifié,"

  This is a fantastic read what an amazing person and what a brilliant life so far.

"
Great read,Royaume-Uni,11 janvier 2019,Achat vérifié,"

  A couple of chapters in and I'm hooked. How she remembers so much from her childhood I have no idea, I must have slept through mine!  A fascinating read

"
Wonderful read written by a wonderful person,Royaume-Uni,2 avril 2019,Achat vérifié,"

  It gives you an insight into her world - incredible detail. Reading along does take you on a journey and what a journey it is.

"
A good read.,Royaume-Uni,22 janvier 2019,Achat vérifié,"

  A fascinating tale of a strong woman. The writing flows well. Good for young adults setting out in life.I recommend.

"
A guide for life.,Royaume-Uni,5 janvier 2020,Achat vérifié,"

  What an inspirational read about a girl becoming an icon. Thank you for me in and sharing your journey. It was hard work for you and it paid.

"
bought as a present and the recipient loved it,Royaume-Uni,29 décembre 2019,Achat vérifié,"

  Michelle Obama is as good as Barack in her ability to hold an enlightening conversation. and this book proves it

"
Lovely book by a lovely lady,Royaume-Uni,7 septembre 2019,Achat vérifié,"

  This was a really good read. A good partnership as Barak writes very well too.

"
Excellent,Royaume-Uni,7 janvier 2019,Achat vérifié,"

  A thoughtful and fascinating account written with candour and kindness. Highly recommended both for girls to be encouraged and for boys to be informed. Thank you. For all our sakes this should be widely read.  It will endure as inspiration.

"
I enjoyed it but it was not truly honest,Royaume-Uni,23 août 2020,Achat vérifié,"

  I enjoyed it, I empathised with here but she only tells us what she wants us to know and not the full truth. I am waiting for a second part in which she addresses the topics in which she isn’t a victim but a necessary accomplice.

"
"Great book, quick delivery service",Royaume-Uni,4 juin 2020,Achat vérifié,"

  Fast delivery as always.No issues with the book, no rips etc to pages, no marks on cover. Brand new.Great read, inspirational woman.Looks good on my shelf too.

"
Michelle Abarma,Royaume-Uni,7 décembre 2019,Achat vérifié,"

  This is Christmas gift so don’t know what it’s like. Not my cup of tea

"
Great read,Royaume-Uni,2 janvier 2019,Achat vérifié,"

  Best book read in a while. Fascinating autobiography. Definitely recommended

"
Michelle Obama,Royaume-Uni,23 octobre 2019,Achat vérifié,"

  interesting but slightly boring. Love Michelle Obama a wonderful woman

"
Excellent,Royaume-Uni,20 mai 2020,Achat vérifié,"

  Arrived in good condition and dispatched in just one day. I’m very pleased so far.The book is also very interesting. I wonder why does Michelle Obama not write more. She is an excellent writer. I would definitely recommend this book.

"
Just WOW,Royaume-Uni,27 juin 2020,Achat vérifié,"

  What an incredible woman, a great story and a shaft of bright white light in these troubled orange times.

"
Great book!,Royaume-Uni,2 février 2019,Achat vérifié,"

  I get bored of books very quickly but this one has kept my attention which rarely happens.I highly recommend this book.

"
So pleased!!,Royaume-Uni,2 décembre 2019,Achat vérifié,"

  I am so happy with this order. I ordered late Friday evening and was told i would receive by Thursday/ Friday following week (which is fine) and as it was Black Friday sales i would have expected delivery delays anyway. This item arrived on Sunday and was in excellent condition. I’m so excited to start reading. Thank you!

"
An enthralling and inspiring read.,Royaume-Uni,29 octobre 2019,Achat vérifié,"

  Inspiring! One of those books you need to read ...and then want to read again.

"
An inspiring read,Royaume-Uni,3 janvier 2019,Achat vérifié,"

  Intrigued from start to finish, this is a fascinating read written by a very inspirational lady - Highly recommend. A fascinating insight into life at The White House.

"
"Just an incredible, inspiring, read",Royaume-Uni,10 novembre 2019,Achat vérifié,"

  Deep, meaningful and touching. I loved learning about America and the Obamas in this beautifully written book. A wonderful story.

"
Loving it!,Royaume-Uni,12 janvier 2019,Achat vérifié,"

  Loving this book so far, it’s an easy read for any book lover and I am enjoying it more than I thought I would! Very interesting!

"
"Inspiring, insightful and beautifully written",Royaume-Uni,5 janvier 2019,Achat vérifié,"

  This book is a must-read for any woman in search of ways to find new assertiveness, purpose and reach for the stars all while being a mom and a wife. I was already a fan of the Obamas but I have even more respect and admiration for them after reading this book.

"
So good,Royaume-Uni,2 décembre 2020,Achat vérifié,"

  This is such a good book. Hart to explain, you just have to read it!

"
Loved it.,Royaume-Uni,15 décembre 2018,Achat vérifié,"

  It focused on her story and responses rather than her husband's. It is well written and I found it hard to put down. I haven't read any other books written from the perspective of a professional black woman in modern times. I already know I will be reading this one again.

"
Fabulous Book Michelle,Royaume-Uni,19 juillet 2020,Achat vérifié,"

  This is a first class auto-biography. Everyone should read it.

"
Leseempfehlung,Allemagne,20 novembre 2018,Achat vérifié,"

  Eine wundervolle und inspirierende Frau mit Klasse! Ich habe mich sehr auf ihr Buch gefreut und genossen es zu lesen. Ihre positive Attitude ist immer ansteckend und wohltuend. Thumbs up!

"
Great Book,Royaume-Uni,4 novembre 2020,Achat vérifié,"

  Great book with lots of insight into the Whitehouse, America and the Obama's

"
Fascinating book.,Royaume-Uni,21 janvier 2019,Achat vérifié,"

  Just finished reading this book and I feel as if a close friend has left me.  She is an amazing woman and was such a great First Lady. America must wonder how they finished up with Trump !!!

"
"Perfect, thank you!",Royaume-Uni,6 juin 2020,Achat vérifié,"

  Item arrived within a few days, perfect condition, can't wait to read!

"
Confusing when I made this order,Royaume-Uni,29 avril 2020,Achat vérifié,"

  I haven’t get to it ... some think has gone wrong in the nature of purchase. I couldn’t hear the audible version .... not good experience for this one.

"
from rags to riches.,Royaume-Uni,20 janvier 2019,Achat vérifié,"

  Still reading. Great stories and history  its really, A  BECOMING

"
Better value than in the book shops,Royaume-Uni,6 janvier 2019,Achat vérifié,"

  Everyone loves this book so would be too afraid to leave a negative review

"
Becoming always meets the Other,Canada,21 novembre 2018,Achat vérifié,"

  Michele ' s authentic voice welcomes you in to the real, the joyful, the pain and the triumph grounded in love of others.  Her story is the story of many others who have lived their journeys on their private stages but struggled through critical reflection, with self value, guilt all wrapped in familial support and love. She takes us onto her public journey while always reminding us in some phrase that the choice is always ours - we have the power -we must constantly ask: Who am I? What are my commitments? Who am I becoming? This is a book for both women and men

"
Wow!,Royaume-Uni,28 juin 2019,Achat vérifié,"

  Couldn't put the book down so incredibly interesting. Well done Michelle you're journey highlights what a wonderful strong women you are. Look forward to more from you. X

"
A fab insight,Royaume-Uni,24 mars 2019,Achat vérifié,"

  A great read for anyone who has time to delve into the deepest memories of Michelle. Just missed the 5 stars as it sometimes felt like a chore to read. Grateful I finished it for the insight to the American political system, it's ridiculous ways and the wonderful Obama family.

"
Excellent read.,Royaume-Uni,25 avril 2020,Achat vérifié,"

  This was an excellent read and suitable for any reader. It was written with clarity. It is inspiring and brings hope to those who can sometimes feel invisible. Women in particular will find that this book gives then a guide to gaining or regaining their voice.

"
Book,Royaume-Uni,14 juin 2019,Achat vérifié,"

  Book sleeve torn on receipt

"
life changing,Royaume-Uni,16 septembre 2019,Achat vérifié,"

  book came quickly good quality hard back, still reading but great read to gain insight

"
Excellent read,Royaume-Uni,6 janvier 2020,Achat vérifié,"

  Really excellent book. Our Bookclub all enjoyed it.

"
"Brilliant, eloquently written!",Royaume-Uni,4 janvier 2019,Achat vérifié,"

  Halfway through the book and I love every page. Well written, she basicslly plucks her real life thoughts and experiences from memory and writes it so eloquently.  It makes you feel like you are living those experiences with her.I have already recommended this to numerous friends.

"
Requested for an 18th birthday gift,Royaume-Uni,18 octobre 2020,Achat vérifié,"

  My great niece requested this book for her birthday

"
Education into another  country's politics  with human touch,Royaume-Uni,22 janvier 2019,Achat vérifié,"

  Could not put this book down my first autabiogfe read .Her energy and passion nows no bounds great people  person . Great read.

"
Becoming- full of life lessons and gives me hope for the future,Royaume-Uni,21 avril 2019,Achat vérifié,"

  Powerful, enlightening and honest. Wow!!! First time reading a memoir. Had some Aha moments. This gives hope to young girls across the world that surely is possible.

"
The perfect present,Royaume-Uni,22 janvier 2020,Achat vérifié,"

  I actually purchased this book as a Christmas gift for my daughter and I know she enjoyed it immensely.

"
Amazing read,Royaume-Uni,9 juin 2019,Achat vérifié,"

  This is truly the best book I have ever read. Michelle is an Icon

"
Looks like an amazing read,Royaume-Uni,14 mai 2019,Achat vérifié,"

  Not read yet but for the price this is a very good buy - cheaper than elsewhere. Was that impressed, I bought another as a gift.

"
Great book aim. Set yourself in the right position for your life,Royaume-Uni,21 novembre 2018,Achat vérifié,"

  Important. Thank you so much

"
If you had a last ever book to read....read this!,Royaume-Uni,8 juin 2019,Achat vérifié,"

  Loved the honesty and love Michelle had written this book with. Cried at some parts and laughed at others! An amazing lady!

"
Interesting book,Royaume-Uni,4 mai 2019,Achat vérifié,"

  Bought the book as a gift for my wife who found the book most interesting. Maybe I will also get around to reading it.

"
"Well written, excellent book",Royaume-Uni,5 décembre 2019,Achat vérifié,"

  Long read, but I managed it and enjoyed it immensely.

"
Really impressive book,Royaume-Uni,14 juillet 2019,Achat vérifié,"

  Brought this for a friends birthday. I listen to the audible version and have to say I was very impressed

"
An inspirational read,Royaume-Uni,17 janvier 2019,Achat vérifié,"

  A truly enjoyable read from the start. She has led a fascinating life and it was interesting hearing all about it, not just the bits when she was FLOTUS

"
"Not overly exciting, easy to read",Royaume-Uni,8 mars 2019,Achat vérifié,"

  She comes across ok, very focused on promoting her project and campaigning work etc. A light touch insite into their life.

"
Love it!,Royaume-Uni,12 juillet 2019,Achat vérifié,"

  Loved it! Such a good read! Love the way it’s written. So personable. Always our first lady!!!

"
Inspirational,Royaume-Uni,6 octobre 2020,Achat vérifié,"

  Some parts were slow, but still worth the read.

"
Quick delivery and packing good,Royaume-Uni,28 juin 2019,Achat vérifié,"

  That was a great gift for a friends.She was so pleased with it and found it inspiring.

"
Wow! Thank you so much for sharing,Royaume-Uni,3 janvier 2019,Achat vérifié,"

  Fabulously raw, honest, beautiful, happy, sad, insightful, scary, heartfelt window to Michelle Obama’s soul.I feel bashfully honoured to be be invited in. Yet refreshed and emboldened.Thank you. Thank you.My family’s family and their family and beyond shall read this. An absolute must-share.

"
Quality item,Royaume-Uni,23 décembre 2018,Achat vérifié,"

  Arrived on time.This is a Christmas present for my mum so unable to comment on content and enjoyability of the read.

"
Easy read,Royaume-Uni,12 décembre 2018,Achat vérifié,"

  I really enjoyed this book .It felt as if you were travelling on a journey with Michelle. What an inspiring and lovely lady.

"
Michelle Obama,Royaume-Uni,30 décembre 2018,Achat vérifié,"

  I brought this for my sister as a late birthday present. I knew she was interested in this book. The book is in hardcover and  is well presented. I recommend this book a nice relaxing read.

"
Rivetting read,Royaume-Uni,11 décembre 2018,Achat vérifié,"

  What an interest life Michelle Obama has and she writes a good story. Very enjoyable.

"
Entertaining,Royaume-Uni,24 février 2019,Achat vérifié,"

  Really enjoyed this book, thoroughly absorbing and entertaining.  Arrived in excellent condition.

"
Must read,Royaume-Uni,22 août 2020,Achat vérifié,"

  Enjoyed this book she is an amazing person

"
Love this book,Royaume-Uni,6 janvier 2019,Achat vérifié,"

  Bought for a Christmas present from my husband - great interesting read which I struggle to put down.

"
A beautiful read!,Royaume-Uni,2 février 2019,Achat vérifié,"

  A deep and interesting read about the former FLOTUS. It was eye-opening to get inside Michelle's head and read behind-the-scenes of Obama.

"
LOVE MICHELLE OBAMA,Royaume-Uni,26 août 2019,Achat vérifié,"

  Most fabulous book that everyone should read x

"
Arrived on time,Royaume-Uni,21 juin 2020,Achat vérifié,"

  Bought for my future daughter in laws up coming birthday

"
Delivered as promised,Royaume-Uni,26 décembre 2019,Achat vérifié,"

  As described and no complaints from me.

"
Love it,Royaume-Uni,23 décembre 2019,Achat vérifié,"

  Fascinating. Lovely woman, lovely book.

"
Pre-ordered before in high street,Royaume-Uni,20 février 2019,Achat vérifié,"

  Good value and guaranteed to be first to get it

"
Refreshing an  Inspiring,Royaume-Uni,17 février 2019,Achat vérifié,"

  A gripping heart felt tale beautifully written  I felt compelled to watch you tube videos of Michelle's speechesI was so sad when the book ended b

"
"Great  book, highly recommended",Royaume-Uni,3 juin 2019,Achat vérifié,"

  I enjoyed this just as much as I expected. Michelle Obama writes like she speaks - fluent, intelligent, insightful, funny; and self-deprecating whilst at the same time confident. I thoroughly recommend it.

"
Good,Royaume-Uni,5 janvier 2020,Achat vérifié,"

  Very interesting if I only had more time to read it lol

"
Biography,Royaume-Uni,18 janvier 2019,Achat vérifié,"

  Thoroughly enjoyed reading about Michelle Obama's life. It was a great present given to me by my husband.

"
Great read,Royaume-Uni,12 janvier 2019,Achat vérifié,"

  Held my interest from start to finish. Interesting view of the US political election system.  Pity the system only allows two terms of office for a President as I’m sure BO was capable of great things

"
Nice book,Royaume-Uni,4 mars 2020,Achat vérifié,"

  Not read it myself but bought as a gift for my wife. She is really happy with it.

"
Inspirational First Lady,Royaume-Uni,5 janvier 2020,Achat vérifié,"

  What a wonderfully frank and honest account of an exceptional life and lady. It felt very genuine and real. Thoroughly enjoyed hearing Michelle give her own account of her life so far. I am sure that there is still more to come from this amazing and decent human being.

"
Brilliant present,Royaume-Uni,19 avril 2019,Achat vérifié,"

  Person receiving this was extremely happy before and after the read

"
Illuminating,Royaume-Uni,9 mars 2019,Achat vérifié,"

  A background and behind the scenes look at an historic couple and Presidency.  Great read.

"
Bit boring,Royaume-Uni,16 juillet 2019,Achat vérifié,"

  Interesting

"
Good to buy what someone wanted for Christmas.,Royaume-Uni,3 octobre 2020,Achat vérifié,"

  Christmas gift. Recipient loved it.

"
Honest and open,Royaume-Uni,17 avril 2020,Achat vérifié,"

  Super no holds barred autobiography

"
Get to know the real Mrs O,Royaume-Uni,3 juillet 2020,Achat vérifié,"

  Book really shows the personal side to Michelle and it's lovely to hear her talk about family life

"
